district_id,district_name,year,month,drought_next_actual,drought_risk_prob,drought_alert,alert_result
ambovombe_androy,Ambovombe-Androy,2025,8,1,0.0520747736923768,0,FN
ambovombe_androy,Ambovombe-Androy,2025,9,0,0.1470934984514422,0,TN
ambovombe_androy,Ambovombe-Androy,2025,10,0,0.2021478841311625,1,FP
ampanihy_ouest,Ampanihy Ouest,2023,1,0,0.2167182078137556,1,FP
ampanihy_ouest,Ampanihy Ouest,2023,2,0,0.3515997324075114,1,FP
ampanihy_ouest,Ampanihy Ouest,2023,3,0,0.1018438347734537,0,TN
ampanihy_ouest,Ampanihy Ouest,2023,4,0,0.0686745224207346,0,TN
ampanihy_ouest,Ampanihy Ouest,2023,5,0,0.0105551481545249,0,TN
ampanihy_ouest,Ampanihy Ouest,2023,6,0,0.011673772992551,0,TN
ampanihy_ouest,Ampanihy Ouest,2023,7,0,0.0106531576569434,0,TN
ampanihy_ouest,Ampanihy Ouest,2023,8,0,0.0239907649917734,0,TN
ampanihy_ouest,Ampanihy Ouest,2023,9,0,0.2215216839984273,1,FP
ampanihy_ouest,Ampanihy Ouest,2023,10,0,0.1589841059526398,0,TN
ampanihy_ouest,Ampanihy Ouest,2023,11,1,0.2175329848358438,1,TP
ampanihy_ouest,Ampanihy Ouest,2023,12,1,0.444407072433251,1,TP
ampanihy_ouest,Ampanihy Ouest,2024,1,0,0.6789458995079286,1,FP
ampanihy_ouest,Ampanihy Ouest,2024,2,0,0.5120113475333141,1,FP
ampanihy_ouest,Ampanihy Ouest,2024,3,0,0.2440703847191074,1,FP
ampanihy_ouest,Ampanihy Ouest,2024,4,0,0.0823226383017535,0,TN
ampanihy_ouest,Ampanihy Ouest,2024,5,0,0.0862606741097229,0,TN
ampanihy_ouest,Ampanihy Ouest,2024,6,0,0.014128186452197,0,TN
ampanihy_ouest,Ampanihy Ouest,2024,7,0,0.0527604399693021,0,TN
ampanihy_ouest,Ampanihy Ouest,2024,8,0,0.0893236306211751,0,TN
ampanihy_ouest,Ampanihy Ouest,2024,9,0,0.2814914700279866,1,FP
ampanihy_ouest,Ampanihy Ouest,2024,10,1,0.3350607636241893,1,TP
ampanihy_ouest,Ampanihy Ouest,2024,11,1,0.3320310805998291,1,TP
ampanihy_ouest,Ampanihy Ouest,2024,12,0,0.5161870987718409,1,FP
ampanihy_ouest,Ampanihy Ouest,2025,1,0,0.5174438341913918,1,FP
ampanihy_ouest,Ampanihy Ouest,2025,2,0,0.23506217425496,1,FP
ampanihy_ouest,Ampanihy Ouest,2025,3,0,0.13000818873758,0,TN
ampanihy_ouest,Ampanihy Ouest,2025,4,0,0.0607885303858041,0,TN
ampanihy_ouest,Ampanihy Ouest,2025,5,0,0.0378059670795314,0,TN
ampanihy_ouest,Ampanihy Ouest,2025,6,0,0.0374774497078045,0,TN
ampanihy_ouest,Ampanihy Ouest,2025,7,0,0.0576490661655856,0,TN
ampanihy_ouest,Ampanihy Ouest,2025,8,0,0.0640618688119938,0,TN
ampanihy_ouest,Ampanihy Ouest,2025,9,1,0.096098312499891,0,FN
ampanihy_ouest,Ampanihy Ouest,2025,10,0,0.1973375875913665,0,TN
ankazoabo,Ankazoabo,2023,1,0,0.4191199593885685,1,FP
ankazoabo,Ankazoabo,2023,2,0,0.2238497367856055,1,FP
ankazoabo,Ankazoabo,2023,3,0,0.0884347068999875,0,TN
ankazoabo,Ankazoabo,2023,4,0,0.0419658440339504,0,TN
ankazoabo,Ankazoabo,2023,5,0,0.0203166104632971,0,TN
ankazoabo,Ankazoabo,2023,6,0,0.0072821974009262,0,TN
ankazoabo,Ankazoabo,2023,7,0,0.0002647193186222,0,TN
ankazoabo,Ankazoabo,2023,8,0,0.021335364537932,0,TN
ankazoabo,Ankazoabo,2023,9,1,0.2240723495556251,1,TP
ankazoabo,Ankazoabo,2023,10,1,0.2269534382778666,1,TP
ankazoabo,Ankazoabo,2023,11,1,0.3807381880653032,1,TP
ankazoabo,Ankazoabo,2023,12,0,0.4730834789244644,1,FP
ankazoabo,Ankazoabo,2024,1,0,0.3563913235574451,1,FP
ankazoabo,Ankazoabo,2024,2,0,0.3308714205796708,1,FP
ankazoabo,Ankazoabo,2024,3,0,0.0830191111489923,0,TN
ankazoabo,Ankazoabo,2024,4,0,0.0354032135993033,0,TN
ankazoabo,Ankazoabo,2024,5,0,0.0180129971940901,0,TN
ankazoabo,Ankazoabo,2024,6,0,0.0083119174650524,0,TN
ankazoabo,Ankazoabo,2024,7,0,0.0002647193186222,0,TN
ankazoabo,Ankazoabo,2024,8,0,0.0202862495901813,0,TN
ankazoabo,Ankazoabo,2024,9,0,0.2047987813970437,1,FP
ankazoabo,Ankazoabo,2024,10,0,0.1774367435498921,0,TN
ankazoabo,Ankazoabo,2024,11,1,0.1214568370674476,0,FN
ankazoabo,Ankazoabo,2024,12,0,0.3998978389436786,1,FP
ankazoabo,Ankazoabo,2025,1,0,0.4369663914866832,1,FP
ankazoabo,Ankazoabo,2025,2,1,0.2932335083100425,1,TP
ankazoabo,Ankazoabo,2025,3,0,0.1333169806669326,0,TN
ankazoabo,Ankazoabo,2025,4,0,0.0773622761553022,0,TN
ankazoabo,Ankazoabo,2025,5,0,0.0337237174748889,0,TN
ankazoabo,Ankazoabo,2025,6,0,0.0173606894321926,0,TN
ankazoabo,Ankazoabo,2025,7,0,0.0273198243236101,0,TN
ankazoabo,Ankazoabo,2025,8,0,0.0372606278272643,0,TN
ankazoabo,Ankazoabo,2025,9,1,0.1995746291284497,0,FN
ankazoabo,Ankazoabo,2025,10,0,0.222967539704167,1,FP
bekily,Bekily,2023,1,0,0.2668740128129825,1,FP
bekily,Bekily,2023,2,0,0.3755293340100008,1,FP
bekily,Bekily,2023,3,0,0.1685521885234337,0,TN
bekily,Bekily,2023,4,0,0.0989054600062821,0,TN
bekily,Bekily,2023,5,0,0.0139345847564107,0,TN
bekily,Bekily,2023,6,0,0.0045856117461511,0,TN
bekily,Bekily,2023,7,0,0.0243170323715414,0,TN
bekily,Bekily,2023,8,0,0.0804767691171359,0,TN
bekily,Bekily,2023,9,0,0.4134780964526707,1,FP
bekily,Bekily,2023,10,0,0.1457418443821701,0,TN
bekily,Bekily,2023,11,1,0.3709130347810396,1,TP
bekily,Bekily,2023,12,1,0.4480591238160118,1,TP
bekily,Bekily,2024,1,0,0.3655379162288155,1,FP
bekily,Bekily,2024,2,0,0.5332277683074846,1,FP
bekily,Bekily,2024,3,0,0.1148961846889231,0,TN
bekily,Bekily,2024,4,0,0.0633892255773224,0,TN
bekily,Bekily,2024,5,0,0.0506713903400014,0,TN
bekily,Bekily,2024,6,0,0.0475417144857617,0,TN
bekily,Bekily,2024,7,0,0.0894971108441417,0,TN
bekily,Bekily,2024,8,0,0.0515197075864537,0,TN
bekily,Bekily,2024,9,0,0.2132688394274964,1,FP
bekily,Bekily,2024,10,0,0.2644790311364213,1,FP
bekily,Bekily,2024,11,1,0.2187008332798467,1,TP
bekily,Bekily,2024,12,0,0.558934589053794,1,FP
bekily,Bekily,2025,1,0,0.6325461010273294,1,FP
bekily,Bekily,2025,2,0,0.2047068329951636,1,FP
bekily,Bekily,2025,3,0,0.1018726592045534,0,TN
bekily,Bekily,2025,4,0,0.167986192814019,0,TN
bekily,Bekily,2025,5,0,0.0521082201773288,0,TN
bekily,Bekily,2025,6,0,0.027911749610347,0,TN
bekily,Bekily,2025,7,0,0.0539101934683643,0,TN
bekily,Bekily,2025,8,0,0.0704702401503789,0,TN
bekily,Bekily,2025,9,0,0.3000043501052395,1,FP
bekily,Bekily,2025,10,0,0.2182075068817081,1,FP
beloha,Beloha,2023,1,1,0.2113340974897138,1,TP
beloha,Beloha,2023,2,0,0.293603950114269,1,FP
beloha,Beloha,2023,3,0,0.1174278776423873,0,TN
beloha,Beloha,2023,4,0,0.0481202612242394,0,TN
beloha,Beloha,2023,5,0,0.0109271020407595,0,TN
beloha,Beloha,2023,6,0,0.0275633336888426,0,TN
beloha,Beloha,2023,7,0,0.0300941502694081,0,TN
beloha,Beloha,2023,8,0,0.0599121833147361,0,TN
beloha,Beloha,2023,9,0,0.2401263212513635,1,FP
beloha,Beloha,2023,10,0,0.1914070425296236,0,TN
beloha,Beloha,2023,11,1,0.1191045054049363,0,FN
beloha,Beloha,2023,12,1,0.3917009688240357,1,TP
beloha,Beloha,2024,1,0,0.4803887639548091,1,FP
beloha,Beloha,2024,2,0,0.5133561374732553,1,FP
beloha,Beloha,2024,3,0,0.1854007591195697,0,TN
